# Station: 40.1020N, -88.2272W
           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s            hPa             °C              %            m/s              °              m
---------------------------------------------------------------------------------------------------------
            0.0         986.40         +13.50          25.00            0.0              0            0.0
            1.0         984.60          -3.60          31.57            3.1            271           15.3
            2.0         983.92          -3.62          37.41            3.1            270           20.8
            3.0         983.12          -3.70          41.77            3.1            269           27.2
            4.0         982.75          -3.85          45.33            3.1            269           30.2
            5.0         982.40          -3.88          47.62            3.1            269           33.0
            6.0         982.03          -3.93          48.20            3.1            268           36.0
            7.0         981.63          -3.91          46.64            3.1            268           39.2
            8.0         981.18          -3.97          46.54            3.1            268           42.8
            9.0         980.76          -4.04          46.49            3.1            268           46.2
           10.0         980.31          -4.14          46.43            3.1            268           49.8
           11.0         979.84          -4.15          46.41            3.1            268           53.6
           12.0         979.34          -4.20          46.49            3.2            268           57.6
           13.0         978.85          -4.23          46.51            3.2            269           61.6
           14.0         978.28          -4.32          46.55            3.2            269           66.2
           15.0         977.68          -4.28          46.64            3.3            269           71.0
           16.0         977.11          -4.27          46.78            3.3            269           75.6
           17.0         976.51          -4.31          46.87            3.4            269           80.4
           18.0         975.89          -4.35          46.93            3.4            269           85.4
           19.0         975.28          -4.44          47.02            3.5            269           90.4
           20.0         974.66          -4.48          47.08            3.5            269           95.4
           21.0         973.99          -4.51          47.12            3.6            269          100.7
           22.0         973.30          -4.54          47.13            3.6            269          106.3
           23.0         972.58          -4.62          47.12            3.7            270          112.1
           24.0         971.86          -4.62          47.17            3.7            270          117.9
           25.0         971.14          -4.67          47.27            3.8            270          123.8
           26.0         970.41          -4.72          47.28            3.8            270          129.7
           27.0         969.69          -4.76          47.31            3.9            270          135.5
           28.0         968.98          -5.00          47.38            3.9            270          141.3
           29.0         968.26          -5.00          47.48            3.9            270          147.1
           30.0         967.52          -5.10          47.61            4.0            270          153.1
           31.0         966.73          -5.14          47.75            4.0            270          159.5
           32.0         965.95          -5.12          47.93            4.0            271          165.9
           33.0         965.16          -5.28          48.12            4.1            271          172.3
           34.0         964.40          -5.24          48.20            4.1            270          178.5
           35.0         963.64          -5.37          48.29            4.2            270          184.7
           36.0         962.90          -5.43          48.41            4.2            270          190.7
           37.0         962.17          -5.46          48.57            4.2            270          196.7
           38.0         961.41          -5.44          48.76            4.3            270          202.9
           39.0         960.65          -5.51          48.91            4.3            270          209.1
           40.0         959.94          -5.64          49.09            4.4            270          214.9
           41.0         959.25          -5.67          49.24            4.4            270          220.5
           42.0         958.59          -5.79          49.33            4.5            270          225.9
           43.0         957.98          -5.79          49.51            4.5            270          230.9
           44.0         957.37          -5.80          49.58            4.6            270          235.9
           45.0         956.76          -5.85          49.63            4.7            270          240.9
           46.0         956.12          -5.92          49.76            4.7            270          246.1
           47.0         955.46          -6.04          49.87            4.8            271          251.5
           48.0         954.78          -6.09          49.98            4.8            271          257.1
           49.0         954.07          -6.23          49.98            4.9            271          262.9
           50.0         953.37          -6.30          49.93            4.9            271          268.7
           51.0         952.68          -6.38          50.00            5.0            272          274.3
           52.0         952.00          -6.53          50.06            5.0            272          279.8
           53.0         951.29          -6.61          50.26            5.1            272          285.6
           54.0         950.59          -6.63          50.39            5.2            273          291.4
           55.0         949.88          -6.67          50.60            5.2            273          297.2
           56.0         949.15          -6.74          50.83            5.3            274          303.2
           57.0         948.45          -6.75          50.95            5.4            274          309.0
           58.0         947.79          -6.79          51.09            5.4            274          314.4
           59.0         947.16          -6.91          51.23            5.5            275          319.6
           60.0         946.53          -6.90          51.43            5.6            275          324.8
           61.0         945.90          -7.02          51.63            5.7            275          330.0
           62.0         945.25          -7.04          51.69            5.8            275          335.4
           63.0         944.59          -7.05          51.93            5.8            275          340.8
           64.0         943.91          -7.15          52.13            5.9            276          346.4
           65.0         943.19          -7.17          52.34            6.0            276          352.4
           66.0         942.49          -7.29          52.52            6.1            276          358.2
           67.0         941.81          -7.33          52.63            6.2            276          363.8
           68.0         941.13          -7.41          52.78            6.2            276          369.4
           69.0         940.48          -7.50          52.94            6.3            276          374.8
           70.0         939.88          -7.46          53.13            6.4            276          379.8
           71.0         939.25          -7.53          53.35            6.4            276          385.0
           72.0         938.65          -7.63          53.48            6.5            276          390.0
           73.0         938.04          -7.65          53.64            6.5            276          395.0
           74.0         937.42          -7.68          53.79            6.6            276          400.2
           75.0         936.79          -7.80          53.88            6.6            276          405.4
           76.0         936.19          -7.77          54.03            6.7            276          410.4
           77.0         935.56          -7.81          54.26            6.7            276          415.6
           78.0         934.94          -7.84          54.45            6.7            276          420.8
           79.0         934.36          -7.89          54.66            6.8            276          425.6
           80.0         933.78          -7.95          54.76            6.8            276          430.4
           81.0         933.21          -8.08          54.75            6.8            276          435.2
           82.0         932.63          -8.10          54.85            6.9            276          440.0
           83.0         932.05          -8.06          54.89            6.9            277          444.7
           84.0         931.43          -8.11          55.02            6.9            277          449.9
           85.0         930.78          -8.13          55.08            6.9            277          455.3
           86.0         930.11          -8.15          55.25            7.0            277          460.9
           87.0         929.44          -8.30          55.43            7.0            277          466.5
           88.0         928.75          -8.43          55.66            7.1            277          472.3
           89.0         928.05          -8.50          55.88            7.1            277          478.1
           90.0         927.41          -8.52          56.11            7.1            277          483.5
           91.0         926.79          -8.52          56.39            7.2            277          488.7
           92.0         926.19          -8.66          56.67            7.2            277          493.7
           93.0         925.62          -8.79          56.88            7.3            277          498.5
           94.0         925.09          -8.76          57.08            7.3            277          502.9
